"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0000Z1+000",27830.18,"UNKNOWN             ","1980-03-20T21:42:23Z","NARROW_ANGLE_CAMERA","3:1    ","BODARK ","LOW    ","1:1    ","CLEAR  ",   0,15.3600,"DARK CURRENT CALIBRATION                                                        ","11111111","NONE  ","VG_0004 ","[CALIB]C2783018.IMQ            ","VG_0005 ","[BROWSE.CALIB]C2783018.IBG            "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0000Z1+000",27830.21,"UNKNOWN             ","1980-03-20T21:44:47Z","WIDE_ANGLE_CAMERA  ","3:1    ","BODARK ","LOW    ","1:1    ","CLEAR  ",   2, 0.7200,"DARK CURRENT CALIBRATION                                                        ","11111111","NONE  ","VG_0004 ","[CALIB]C2783021.IMQ            ","VG_0005 ","[BROWSE.CALIB]C2783021.IBG            "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0000Z1+000",29297.25,"UNKNOWN             ","1980-05-08T19:31:07Z","WIDE_ANGLE_CAMERA  ","5:1    ","BODARK ","LOW    ","1:1    ","CLEAR  ",   2, 0.0050,"DARK CURRENT CALIBRATION                                                        ","11111111","NONE  ","VG_0004 ","[CALIB]C2929725.IMQ            ","VG_0005 ","[BROWSE.CALIB]C2929725.IBG            "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0000Z1+000",32146.56,"UNKNOWN             ","1980-08-12T23:44:27Z","WIDE_ANGLE_CAMERA  ","1:1    ","BODARK ","LOW    ","1:1    ","CLEAR  ",   2,15.3600,"DARK CURRENT CALIBRATION                                                        ","11111111","NONE  ","VG_0004 ","[CALIB]C3214656.IMQ            ","VG_0005 ","[BROWSE.CALIB]C3214656.IBG            "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0000Z1+000",32146.57,"UNKNOWN             ","1980-08-12T23:48:43Z","NARROW_ANGLE_CAMERA","1:1    ","BODARK ","LOW    ","1:1    ","BLUE   ",   2,11.5200,"DARK CURRENT CALIBRATION                                                        ","11111111","NONE  ","VG_0004 ","[CALIB]C3214657.IMQ            ","VG_0005 ","[BROWSE.CALIB]C3214657.IBG            "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0000Z1+000",32147.09,"UNKNOWN             ","1980-08-13T00:39:38Z","NARROW_ANGLE_CAMERA","1:1    ","BODARK ","LOW    ","1:1    ","CLEAR  ",   0, 0.0050,"DARK CURRENT CALIBRATION                                                        ","11111111","NONE  ","VG_0004 ","[CALIB]C3214709.IMQ            ","VG_0005 ","[BROWSE.CALIB]C3214709.IBG            "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0000Z1+000",32147.10,"UNKNOWN             ","1980-08-13T00:43:54Z","WIDE_ANGLE_CAMERA  ","1:1    ","BODARK ","LOW    ","1:1    ","CLEAR  ",   2, 0.0050,"DARK CURRENT CALIBRATION                                                        ","11111111","NONE  ","VG_0004 ","[CALIB]C3214710.IMQ            ","VG_0005 ","[BROWSE.CALIB]C3214710.IBG            "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0000Z1+000",32156.13,"UNKNOWN             ","1980-08-12T02:50:55Z","NARROW_ANGLE_CAMERA","5:1    ","BODARK ","LOW    ","1:1    ","CLEAR  ",   0, 0.0050,"DARK CURRENT CALIBRATION                                                        ","11111111","NONE  ","VG_0004 ","[CALIB]C3215613.IMQ            ","VG_0005 ","[BROWSE.CALIB]C3215613.IBG            "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0000Z1+000",32156.23,"UNKNOWN             ","1980-08-12T02:58:55Z","NARROW_ANGLE_CAMERA","5:1    ","BODARK ","LOW    ","1:1    ","CLEAR  ",   0, 0.0050,"DARK CURRENT CALIBRATION                                                        ","11111111","NONE  ","VG_0004 ","[CALIB]C3215623.IMQ            ","VG_0005 ","[BROWSE.CALIB]C3215623.IBG            "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HYPERION","0691S1-046",33575.27,"1980-09-28T08:54:58Z","1980-09-28T19:43:39Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"OPTICAL NAVIGATION                                                              ","11111111","NONE  ","VG_0004 ","[HYPERION]C3357527.IMQ         ","VG_0005 ","[BROWSE.HYPERION]C3357527.IBG         "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HYPERION","0931S1-041",33729.27,"1980-10-03T12:06:58Z","1980-10-03T19:11:47Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"OPTICAL NAVIGATION                                                              ","11111111","NONE  ","VG_0004 ","[HYPERION]C3372927.IMQ         ","VG_0005 ","[BROWSE.HYPERION]C3372927.IBG         "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HYPERION","1017S1-036",33880.53,"1980-10-08T13:15:46Z","1980-10-08T21:27:41Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"OPTICAL NAVIGATION                                                              ","11111111","NONE  ","VG_0004 ","[HYPERION]C3388053.IMQ         ","VG_0005 ","[BROWSE.HYPERION]C3388053.IBG         "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","1605S1-032",34010.41,"1980-10-12T21:06:10Z","1980-10-12T22:30:52Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0,  5.760,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3401041.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3401041.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","1611S1-032",34010.47,"1980-10-12T21:10:58Z","1980-10-12T22:35:40Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 15.360,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3401047.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3401047.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","1034S1-025",34211.10,"1980-10-19T13:29:22Z","1980-10-19T14:54:13Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0,  5.760,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3421110.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3421110.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","1040S1-025",34211.16,"1980-10-19T13:34:10Z","1980-10-19T14:59:01Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 15.360,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3421116.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3421116.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","1516S1-021",34339.12,"1980-10-23T19:54:58Z","1980-10-23T21:19:53Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0,  5.760,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3433912.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3433912.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","1522S1-021",34339.18,"1980-10-23T19:59:46Z","1980-10-23T21:24:41Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 15.360,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3433918.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3433918.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HYPERION","0780S1-020",34356.56,"1980-10-24T10:06:10Z","1980-10-26T10:55:16Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"OPTICAL NAVIGATION                                                              ","11111111","NONE  ","VG_0004 ","[HYPERION]C3435656.IMQ         ","VG_0005 ","[BROWSE.HYPERION]C3435656.IBG         "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","ENCELADU","0120S1-019",34375.56,"1980-10-25T01:18:10Z","1980-10-26T22:52:52Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"OPTICAL NAVIGATION                                                              ","11111111","NONE  ","VG_0004 ","[ENCELADU]C3437556.IMQ         ","VG_0005 ","[BROWSE.ENCELADU]C3437556.IBG         "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","0137S1-019",34376.13,"1980-10-25T01:31:46Z","1980-10-25T02:56:41Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3437613.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3437613.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","0142S1-019",34376.18,"1980-10-25T01:31:46Z","1980-10-25T03:00:41Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3437618.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3437618.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","0148S1-019",34376.24,"1980-10-25T01:40:34Z","1980-10-25T03:05:29Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3437624.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3437624.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","0153S1-019",34376.29,"1980-10-25T01:40:34Z","1980-10-25T03:09:29Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3437629.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3437629.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","1011S1-018",34420.47,"1980-10-26T13:10:58Z","1980-10-26T14:35:54Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   0,  5.760,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3442047.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3442047.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","1014S1-018",34420.50,"1980-10-26T13:10:58Z","1980-10-26T14:38:18Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3442050.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3442050.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","1018S1-018",34420.54,"1980-10-26T13:16:34Z","1980-10-26T14:41:30Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3442054.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3442054.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","1021S1-018",34420.57,"1980-10-26T13:16:34Z","1980-10-26T14:43:54Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3442057.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3442057.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","MIMAS   ","0604S1-017",34444.00,"1980-10-27T07:45:22Z","1980-10-27T09:42:33Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"OPTICAL NAVIGATION                                                              ","11111111","NONE  ","VG_0004 ","[MIMAS]C3444400.IMQ            ","VG_0005 ","[BROWSE.MIMAS]C3444400.IBG            "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","ENCELADU","1223S1-017",34454.19,"1980-10-27T16:00:34Z","1980-10-28T10:00:39Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"OPTICAL NAVIGATION                                                              ","11111111","NONE  ","VG_0004 ","[ENCELADU]C3445419.IMQ         ","VG_0005 ","[BROWSE.ENCELADU]C3445419.IBG         "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","0064S1-016",34465.00,"1980-10-28T00:33:22Z","1980-10-28T01:58:18Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3446500.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3446500.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","0069S1-016",34465.05,"1980-10-28T00:33:22Z","1980-10-28T02:02:18Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3446505.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3446505.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","0075S1-016",34465.11,"1980-10-28T00:42:10Z","1980-10-28T02:07:06Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3446511.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3446511.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","0080S1-016",34465.16,"1980-10-28T00:42:10Z","1980-10-28T02:11:06Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3446516.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3446516.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HYPERION","0498S1-016",34472.14,"1980-10-28T06:20:34Z","1980-10-28T10:31:24Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"OPTICAL NAVIGATION                                                              ","11111111","NONE  ","VG_0004 ","[HYPERION]C3447214.IMQ         ","VG_0005 ","[BROWSE.HYPERION]C3447214.IBG         "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","ENCELADU","0752S1-015",34506.44,"1980-10-29T09:43:46Z","1980-10-30T09:18:20Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"OPTICAL NAVIGATION                                                              ","11111111","NONE  ","VG_0004 ","[ENCELADU]C3450644.IMQ         ","VG_0005 ","[BROWSE.ENCELADU]C3450644.IBG         "                                                                                                                   
