"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0925S1-082",32499.21,"1980-08-23T12:02:10Z","1980-08-23T21:10:48Z","NARROW_ANGLE_CAMERA","1:1    ","BODARK ","LOW    ","1:1    ","CLEAR  ",   0, 0.0050,"                                                                                ","11111111","NONE  ","VG_0026 ","[CALIB.DARK]C3249921.IMQ                 ","VG_0026 ","[BROWSE.CALIB.DARK]C3249921.IBG                 "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0927S1-082",32499.23,"1980-08-23T12:03:46Z","1980-08-23T21:15:15Z","NARROW_ANGLE_CAMERA","1:1    ","BODARK ","LOW    ","1:1    ","CLEAR  ",   0, 0.0050,"                                                                                ","11111111","NONE  ","VG_0026 ","[CALIB.DARK]C3249923.IMQ                 ","VG_0026 ","[BROWSE.CALIB.DARK]C3249923.IBG                 "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0929S1-082",32499.25,"1980-08-23T12:05:22Z","1980-08-23T21:19:44Z","NARROW_ANGLE_CAMERA","1:1    ","BODARK ","LOW    ","1:1    ","CLEAR  ",   0, 0.0050,"                                                                                ","11111111","NONE  ","VG_0026 ","[CALIB.DARK]C3249925.IMQ                 ","VG_0026 ","[BROWSE.CALIB.DARK]C3249925.IBG                 "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0931S1-082",32499.27,"1980-08-23T12:06:58Z","1980-08-23T21:24:12Z","NARROW_ANGLE_CAMERA","1:1    ","BODARK ","LOW    ","1:1    ","CLEAR  ",   0, 0.0050,"                                                                                ","11111111","NONE  ","VG_0026 ","[CALIB.DARK]C3249927.IMQ                 ","VG_0026 ","[BROWSE.CALIB.DARK]C3249927.IBG                 "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0977S1-082",32500.13,"1980-08-23T12:43:46Z","1980-08-23T21:28:39Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3250XXX]C3250013.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3250XXX]C3250013.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0979S1-082",32500.15,"1980-08-23T12:45:22Z","1980-08-23T21:33:08Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3250XXX]C3250015.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3250XXX]C3250015.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0981S1-082",32500.17,"1980-08-23T12:46:58Z","1980-08-23T21:37:35Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3250XXX]C3250017.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3250XXX]C3250017.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0983S1-082",32500.19,"1980-08-23T12:48:34Z","1980-08-23T21:42:03Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3250XXX]C3250019.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3250XXX]C3250019.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0985S1-082",32500.21,"1980-08-23T12:50:10Z","1980-08-23T21:46:29Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3250XXX]C3250021.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3250XXX]C3250021.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1131S1-082",32502.47,"1980-08-23T14:46:58Z","1980-08-23T21:50:39Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3250XXX]C3250247.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3250XXX]C3250247.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1133S1-082",32502.49,"1980-08-23T14:48:34Z","1980-08-23T21:55:07Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3250XXX]C3250249.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3250XXX]C3250249.IBG            "                                                                                               
