"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1739S1-047",33562.55,"1980-09-27T22:53:22Z","1980-09-28T17:23:53Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3356XXX]C3356255.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3356XXX]C3356255.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1741S1-047",33562.57,"1980-09-27T22:54:58Z","1980-09-28T17:28:19Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3356XXX]C3356257.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3356XXX]C3356257.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0087S1-046",33565.23,"1980-09-28T00:51:46Z","1980-09-28T17:32:47Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3356XXX]C3356523.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3356XXX]C3356523.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0089S1-046",33565.25,"1980-09-28T00:53:22Z","1980-09-28T17:37:15Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3356XXX]C3356525.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3356XXX]C3356525.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0091S1-046",33565.27,"1980-09-28T00:54:58Z","1980-09-28T17:41:41Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3356XXX]C3356527.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3356XXX]C3356527.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0093S1-046",33565.29,"1980-09-28T00:56:34Z","1980-09-28T17:46:10Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3356XXX]C3356529.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3356XXX]C3356529.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0095S1-046",33565.31,"1980-09-28T00:58:10Z","1980-09-28T17:50:36Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3356XXX]C3356531.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3356XXX]C3356531.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0241S1-046",33567.57,"1980-09-28T02:54:58Z","1980-09-28T17:54:46Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3356XXX]C3356757.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3356XXX]C3356757.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0243S1-046",33567.59,"1980-09-28T02:56:34Z","1980-09-28T17:59:16Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3356XXX]C3356759.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3356XXX]C3356759.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0245S1-046",33568.01,"1980-09-28T02:58:10Z","1980-09-28T18:03:41Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3356XXX]C3356801.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3356XXX]C3356801.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0247S1-046",33568.03,"1980-09-28T02:59:46Z","1980-09-28T18:08:08Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3356XXX]C3356803.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3356XXX]C3356803.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0249S1-046",33568.05,"1980-09-28T03:01:22Z","1980-09-28T18:12:35Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3356XXX]C3356805.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3356XXX]C3356805.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0395S1-046",33570.31,"1980-09-28T04:58:10Z","1980-09-28T19:01:28Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357031.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357031.IBG            "                                                                                               
