"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1076S1-006",34781.52,"1980-11-07T14:00:34Z","1980-11-07T15:27:50Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.9600,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478152.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478152.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1080S1-006",34781.56,"1980-11-07T14:06:10Z","1980-11-07T15:31:02Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478156.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478156.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1083S1-006",34781.59,"1980-11-07T14:06:10Z","1980-11-07T15:33:26Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 1.9200,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478159.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478159.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1087S1-006",34782.03,"1980-11-07T14:11:46Z","1980-11-07T15:36:38Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478203.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478203.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1090S1-006",34782.06,"1980-11-07T14:11:46Z","1980-11-07T15:39:02Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CH4_JS ",   0, 7.6800,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478206.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478206.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1094S1-006",34782.10,"1980-11-07T14:17:22Z","1980-11-07T15:42:14Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478210.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478210.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1097S1-006",34782.13,"1980-11-07T14:17:22Z","1980-11-07T15:44:38Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.3600,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478213.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478213.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1101S1-006",34782.17,"1980-11-07T14:22:58Z","1980-11-07T15:47:50Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478217.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478217.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1104S1-006",34782.20,"1980-11-07T14:22:58Z","1980-11-07T15:50:14Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.9600,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478220.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478220.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1108S1-006",34782.24,"1980-11-07T14:28:34Z","1980-11-07T15:53:26Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478224.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478224.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1111S1-006",34782.27,"1980-11-07T14:28:34Z","1980-11-07T15:55:50Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 1.9200,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478227.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478227.IBG            "                                                                                               
