"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1450S1+002",35028.06,"1980-11-15T18:58:11Z","1980-11-15T20:26:48Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.2400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3502XXX]C3502806.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3502XXX]C3502806.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1475S1+002",35028.31,"1980-11-15T19:22:11Z","1980-11-15T20:46:48Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3502XXX]C3502831.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3502XXX]C3502831.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1480S1+002",35028.36,"1980-11-15T19:22:11Z","1980-11-15T20:50:48Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.7200,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3502XXX]C3502836.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3502XXX]C3502836.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1505S1+002",35029.01,"1980-11-15T19:46:11Z","1980-11-15T21:10:48Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3502XXX]C3502901.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3502XXX]C3502901.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1510S1+002",35029.06,"1980-11-15T19:46:11Z","1980-11-15T21:14:48Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3502XXX]C3502906.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3502XXX]C3502906.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1535S1+002",35029.31,"1980-11-15T20:10:11Z","1980-11-15T21:34:48Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3502XXX]C3502931.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3502XXX]C3502931.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1540S1+002",35029.36,"1980-11-15T20:10:11Z","1980-11-15T21:38:47Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","CH4_JS ",   0, 3.8400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3502XXX]C3502936.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3502XXX]C3502936.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1565S1+002",35030.01,"1980-11-15T20:34:11Z","1980-11-15T21:58:47Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503001.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503001.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1570S1+002",35030.06,"1980-11-15T20:34:11Z","1980-11-15T22:02:47Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.2400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503006.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503006.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1589S1+002",35030.25,"1980-11-15T20:53:23Z","1980-11-15T22:17:59Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503025.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503025.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1595S1+002",35030.31,"1980-11-15T20:58:11Z","1980-11-15T22:22:47Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503031.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503031.IBG            "                                                                                               
