"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1750S1+013",35363.06,"1980-11-26T23:02:11Z","1980-11-27T00:26:00Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536306.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536306.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1753S1+013",35363.09,"1980-11-26T23:02:11Z","1980-11-27T00:28:24Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536309.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536309.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1757S1+013",35363.13,"1980-11-26T23:07:47Z","1980-11-27T00:31:36Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536313.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536313.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1760S1+013",35363.16,"1980-11-26T23:07:47Z","1980-11-27T00:34:00Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536316.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536316.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1764S1+013",35363.20,"1980-11-26T23:13:23Z","1980-11-27T00:37:12Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536320.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536320.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1767S1+013",35363.23,"1980-11-26T23:13:23Z","1980-11-27T00:39:36Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536323.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536323.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1771S1+013",35363.27,"1980-11-26T23:18:59Z","1980-11-27T00:42:48Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536327.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536327.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1774S1+013",35363.30,"1980-11-26T23:18:59Z","1980-11-27T00:45:12Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536330.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536330.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1778S1+013",35363.34,"1980-11-26T23:24:35Z","1980-11-27T00:48:24Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536334.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536334.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1781S1+013",35363.37,"1980-11-26T23:24:35Z","1980-11-27T00:50:48Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536337.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536337.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1785S1+013",35363.41,"1980-11-26T23:30:11Z","1980-11-27T00:54:00Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536341.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536341.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1788S1+013",35363.44,"1980-11-26T23:30:11Z","1980-11-27T00:56:24Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536344.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536344.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1792S1+013",35363.48,"1980-11-26T23:35:47Z","1980-11-27T00:59:36Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536348.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536348.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1795S1+013",35363.51,"1980-11-26T23:35:47Z","1980-11-27T01:02:00Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536351.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536351.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1799S1+013",35363.55,"1980-11-26T23:41:23Z","1980-11-27T01:05:12Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536355.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536355.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0002S1+013",35363.58,"1980-11-26T23:41:23Z","1980-11-27T01:07:36Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536358.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536358.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0006S1+014",35364.02,"1980-11-26T23:46:59Z","1980-11-27T01:10:48Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536402.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536402.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0009S1+014",35364.05,"1980-11-26T23:46:59Z","1980-11-27T01:13:12Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3536XXX]C3536405.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3536XXX]C3536405.IBG            "                                                                                               
