"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1527S1+022",35629.23,"1980-12-05T20:03:47Z","1980-12-05T21:26:52Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3562XXX]C3562923.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3562XXX]C3562923.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1530S1+022",35629.26,"1980-12-05T20:03:47Z","1980-12-05T21:29:16Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3562XXX]C3562926.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3562XXX]C3562926.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1534S1+022",35629.30,"1980-12-05T20:09:23Z","1980-12-05T21:32:28Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3562XXX]C3562930.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3562XXX]C3562930.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1537S1+022",35629.33,"1980-12-05T20:09:23Z","1980-12-05T21:34:52Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3562XXX]C3562933.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3562XXX]C3562933.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1541S1+022",35629.37,"1980-12-05T20:14:59Z","1980-12-05T21:38:04Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3562XXX]C3562937.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3562XXX]C3562937.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1544S1+022",35629.40,"1980-12-05T20:14:59Z","1980-12-05T21:40:28Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3562XXX]C3562940.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3562XXX]C3562940.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1548S1+022",35629.44,"1980-12-05T20:20:35Z","1980-12-05T21:43:40Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3562XXX]C3562944.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3562XXX]C3562944.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1551S1+022",35629.47,"1980-12-05T20:20:35Z","1980-12-05T21:46:04Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3562XXX]C3562947.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3562XXX]C3562947.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1555S1+022",35629.51,"1980-12-05T20:26:11Z","1980-12-05T21:49:16Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3562XXX]C3562951.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3562XXX]C3562951.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1558S1+022",35629.54,"1980-12-05T20:26:11Z","1980-12-05T21:51:40Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3562XXX]C3562954.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3562XXX]C3562954.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1562S1+022",35629.58,"1980-12-05T20:31:47Z","1980-12-05T21:54:52Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3562XXX]C3562958.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3562XXX]C3562958.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1565S1+022",35630.01,"1980-12-05T20:31:47Z","1980-12-05T21:57:16Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563001.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563001.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1569S1+022",35630.05,"1980-12-05T20:37:23Z","1980-12-05T22:00:28Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563005.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563005.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1572S1+022",35630.08,"1980-12-05T20:37:23Z","1980-12-05T22:02:52Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563008.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563008.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1576S1+022",35630.12,"1980-12-05T20:42:59Z","1980-12-05T22:06:04Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563012.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563012.IBG            "                                                                                               
