"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1373S1-010",34666.49,"1980-11-03T17:58:10Z","1980-11-03T19:25:29Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.9600,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466649.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3466XXX]C3466649.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1376S1-010",34666.52,"1980-11-03T18:02:58Z","1980-11-03T19:27:53Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466652.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3466XXX]C3466652.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1381S1-010",34666.57,"1980-11-03T18:06:58Z","1980-11-03T19:31:53Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466657.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3466XXX]C3466657.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1384S1-010",34667.00,"1980-11-03T18:06:58Z","1980-11-03T19:34:17Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 1.9200,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466700.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3466XXX]C3466700.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1388S1-010",34667.04,"1980-11-03T18:12:34Z","1980-11-03T19:37:29Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466704.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3466XXX]C3466704.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1391S1-010",34667.07,"1980-11-03T18:12:34Z","1980-11-03T19:39:53Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CH4_JS ",   0, 7.6800,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466707.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3466XXX]C3466707.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1394S1-010",34667.10,"1980-11-03T18:17:22Z","1980-11-03T19:42:17Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466710.IMQ                      ","VG_0033 ","[BROWSE.SATURN.C3466XXX]C3466710.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","S_RINGS ","1404S1-010",34667.20,"1980-11-03T18:25:22Z","1980-11-03T19:50:17Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 1.4400,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466720.IMQ                      ","VG_0033 ","[BROWSE.S_RINGS]C3466720.IBG                    "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","S_RINGS ","1408S1-010",34667.24,"1980-11-03T18:28:34Z","1980-11-03T19:53:29Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 2.8800,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466724.IMQ                      ","VG_0033 ","[BROWSE.S_RINGS]C3466724.IBG                    "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","S_RINGS ","1412S1-010",34667.28,"1980-11-03T18:31:46Z","1980-11-03T19:56:41Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.7200,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466728.IMQ                      ","VG_0033 ","[BROWSE.S_RINGS]C3466728.IBG                    "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","S_RINGS ","1420S1-010",34667.36,"1980-11-03T18:38:10Z","1980-11-03T20:03:05Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 2.8800,"                                                                                ","11111111","NONE  ","VG_0033 ","[FOUND]C3466736.IMQ                      ","VG_0033 ","[BROWSE.S_RINGS]C3466736.IBG                    "                                                                                               
