"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0757S2-058",42278.14,"1981-06-29T13:29:35Z","1981-06-29T14:46:37Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 5.7600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4227XXX]C4227814.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4227XXX]C4227814.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0763S2-058",42278.20,"1981-06-29T13:34:23Z","1981-06-29T14:51:25Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4227XXX]C4227820.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4227XXX]C4227820.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0769S2-058",42278.26,"1981-06-29T13:39:11Z","1981-06-29T14:56:13Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4227XXX]C4227826.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4227XXX]C4227826.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0775S2-058",42278.32,"1981-06-29T13:43:59Z","1981-06-29T15:01:01Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 3.8400,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4227XXX]C4227832.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4227XXX]C4227832.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0781S2-058",42278.38,"1981-06-29T13:48:47Z","1981-06-29T15:05:49Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4227XXX]C4227838.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4227XXX]C4227838.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0910S2-058",42280.47,"1981-06-29T15:31:59Z","1981-06-29T16:49:02Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228047.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228047.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0916S2-058",42280.53,"1981-06-29T15:36:47Z","1981-06-29T16:53:50Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 5.7600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228053.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228053.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0922S2-058",42280.59,"1981-06-29T15:41:35Z","1981-06-29T16:58:38Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228059.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228059.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0928S2-058",42281.05,"1981-06-29T15:46:23Z","1981-06-29T17:03:26Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228105.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228105.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0934S2-058",42281.11,"1981-06-29T15:51:11Z","1981-06-29T17:08:14Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 3.8400,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228111.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228111.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1069S2-058",42283.26,"1981-06-29T17:39:11Z","1981-06-29T18:56:15Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228326.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228326.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1075S2-058",42283.32,"1981-06-29T17:43:59Z","1981-06-29T19:01:03Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 5.7600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228332.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228332.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1081S2-058",42283.38,"1981-06-29T17:48:47Z","1981-06-29T19:05:51Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228338.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228338.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1087S2-058",42283.44,"1981-06-29T17:53:35Z","1981-06-29T19:10:39Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228344.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228344.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1093S2-058",42283.50,"1981-06-29T17:58:23Z","1981-06-29T19:15:27Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 3.8400,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228350.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228350.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1099S2-058",42283.56,"1981-06-29T18:03:11Z","1981-06-29T19:20:15Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228356.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228356.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1228S2-058",42286.05,"1981-06-29T19:46:23Z","1981-06-29T21:03:28Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228605.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228605.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1234S2-058",42286.11,"1981-06-29T19:51:11Z","1981-06-29T21:08:16Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 5.7600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228611.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228611.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1240S2-058",42286.17,"1981-06-29T19:55:59Z","1981-06-29T21:13:04Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228617.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228617.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1246S2-058",42286.23,"1981-06-29T20:00:47Z","1981-06-29T21:17:52Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228623.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228623.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1252S2-058",42286.29,"1981-06-29T20:05:35Z","1981-06-29T21:22:40Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 3.8400,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228629.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228629.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1258S2-058",42286.35,"1981-06-29T20:10:23Z","1981-06-29T21:27:28Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228635.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228635.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1395S2-058",42288.52,"1981-06-29T21:59:59Z","1981-06-30T14:39:52Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228852.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228852.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1397S2-058",42288.54,"1981-06-29T22:01:35Z","1981-06-30T14:44:18Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 5.7600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228854.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228854.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1399S2-058",42288.56,"1981-06-29T22:03:11Z","1981-06-30T14:48:43Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228856.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228856.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1401S2-058",42288.58,"1981-06-29T22:04:47Z","1981-06-30T14:53:09Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.7200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228858.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228858.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1403S2-058",42289.00,"1981-06-29T22:06:23Z","1981-06-30T14:57:35Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 3.8400,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4228XXX]C4228900.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4228XXX]C4228900.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1554S2-058",42291.31,"1981-06-30T00:07:11Z","1981-06-30T15:02:01Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229131.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229131.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1556S2-058",42291.33,"1981-06-30T00:08:47Z","1981-06-30T15:06:28Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 5.7600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229133.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229133.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1558S2-058",42291.35,"1981-06-30T00:10:23Z","1981-06-30T15:10:52Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229135.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229135.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1560S2-058",42291.37,"1981-06-30T00:11:59Z","1981-06-30T15:15:19Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.7200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229137.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229137.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1562S2-058",42291.39,"1981-06-30T00:13:35Z","1981-06-30T15:19:46Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 3.8400,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229139.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229139.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1713S2-058",42294.10,"1981-06-30T02:14:23Z","1981-06-30T15:23:51Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229410.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229410.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1715S2-058",42294.12,"1981-06-30T02:15:59Z","1981-06-30T15:28:14Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 5.7600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229412.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229412.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1717S2-058",42294.14,"1981-06-30T02:17:35Z","1981-06-30T15:32:41Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229414.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229414.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1719S2-058",42294.16,"1981-06-30T02:19:11Z","1981-06-30T15:37:07Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.7200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229416.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229416.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1721S2-058",42294.18,"1981-06-30T02:20:47Z","1981-06-30T15:41:33Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 3.8400,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229418.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229418.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0072S2-057",42296.49,"1981-06-30T04:21:35Z","1981-06-30T15:45:57Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229649.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229649.IBG            "                                                                                               
