"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0309S2-024",43290.46,"1981-08-02T07:31:12Z","1981-08-02T08:54:12Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329046.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329046.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0315S2-024",43290.52,"1981-08-02T07:36:00Z","1981-08-02T08:59:00Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329052.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329052.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0320S2-024",43290.57,"1981-08-02T07:36:00Z","1981-08-02T09:03:00Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.2400,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329057.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329057.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0325S2-024",43291.02,"1981-08-02T07:44:00Z","1981-08-02T09:07:00Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329102.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329102.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0331S2-024",43291.08,"1981-08-02T07:48:48Z","1981-08-02T09:11:48Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329108.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329108.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0337S2-024",43291.14,"1981-08-02T07:53:36Z","1981-08-02T09:16:36Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329114.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329114.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0342S2-024",43291.19,"1981-08-02T07:53:36Z","1981-08-02T09:20:36Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 0.7200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329119.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329119.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0347S2-024",43291.24,"1981-08-02T08:01:36Z","1981-08-02T09:24:36Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329124.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329124.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0353S2-024",43291.30,"1981-08-02T08:06:24Z","1981-08-02T09:29:24Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329130.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329130.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0359S2-024",43291.36,"1981-08-02T08:11:12Z","1981-08-02T09:34:12Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329136.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329136.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0364S2-024",43291.41,"1981-08-02T08:11:12Z","1981-08-02T09:38:13Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","CH4_JS ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329141.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329141.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0369S2-024",43291.46,"1981-08-02T08:19:12Z","1981-08-02T09:42:13Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329146.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329146.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0375S2-024",43291.52,"1981-08-02T08:24:00Z","1981-08-02T09:47:01Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329152.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329152.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0381S2-024",43291.58,"1981-08-02T08:28:48Z","1981-08-02T09:51:49Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329158.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329158.IBG            "                                                                                               
