"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1450S2-015",43579.47,"1981-08-11T22:41:36Z","1981-08-12T00:08:31Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 0.2400,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4357XXX]C4357947.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4357XXX]C4357947.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1454S2-015",43579.51,"1981-08-11T22:47:12Z","1981-08-12T00:11:43Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 2.8800,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4357XXX]C4357951.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4357XXX]C4357951.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1458S2-015",43579.55,"1981-08-11T22:50:24Z","1981-08-12T00:14:55Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4357XXX]C4357955.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4357XXX]C4357955.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1462S2-015",43579.59,"1981-08-11T22:53:36Z","1981-08-12T00:18:07Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4357XXX]C4357959.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4357XXX]C4357959.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1465S2-015",43580.02,"1981-08-11T22:53:36Z","1981-08-12T00:20:31Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 0.9600,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358002.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358002.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1530S2-015",43581.07,"1981-08-11T23:48:00Z","1981-08-12T01:12:31Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 2.8800,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358107.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358107.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1533S2-015",43581.10,"1981-08-11T23:48:00Z","1981-08-12T01:14:55Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 0.9600,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358110.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358110.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1537S2-015",43581.14,"1981-08-11T23:53:36Z","1981-08-12T01:18:07Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358114.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358114.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1540S2-015",43581.17,"1981-08-11T23:53:36Z","1981-08-12T01:20:31Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.2400,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358117.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358117.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1544S2-015",43581.21,"1981-08-11T23:59:12Z","1981-08-12T01:23:44Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   3, 5.7600,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358121.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358121.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1547S2-015",43581.24,"1981-08-11T23:59:12Z","1981-08-12T01:26:08Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.9600,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358124.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358124.IBG            "                                                                                               
