"VOYAGER_2","SATURN_ENCOUNTER ","RHEA    ","0487S2-005",43863.44,"1981-08-21T09:53:35Z","1981-08-21T11:19:30Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:3    ","UV     ",   7, 2.8800,"                                                                                ","11111111","NONE  ","VG_0037 ","[RHEA]C4386344.IMQ                       ","VG_0037 ","[BROWSE.RHEA]C4386344.IBG                       "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","RHEA    ","0491S2-005",43863.48,"1981-08-21T09:56:47Z","1981-08-21T11:22:42Z","NARROW_ANGLE_CAMERA","1:1    ","BOTSIM ","LOW    ","1:3    ","CLEAR  ",   0, 0.3600,"                                                                                ","11111111","NONE  ","VG_0037 ","[RHEA]C4386348.IMQ                       ","VG_0037 ","[BROWSE.RHEA]C4386348.IBG                       "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","RHEA    ","0493S2-005",43863.50,"1981-08-21T11:24:18Z","1981-08-21T11:24:18Z","WIDE_ANGLE_CAMERA  ","1:1    ","BOTSIM ","LOW    ","1:3    ","CLEAR  ",   2, 0.4800,"                                                                                ","11111111","NONE  ","VG_0037 ","[RHEA]C4386350.IMQ                       ","VG_0037 ","[BROWSE.RHEA]C4386350.IBG                       "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","TITAN   ","0508S2-005",43864.05,"1981-08-21T10:10:23Z","1981-08-21T11:36:18Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:3    ","CLEAR  ",   0, 0.7200,"                                                                                ","11111111","NONE  ","VG_0037 ","[TITAN.C4386XXX]C4386405.IMQ             ","VG_0037 ","[BROWSE.TITAN.C4386XXX]C4386405.IBG             "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","TITAN   ","0511S2-005",43864.08,"1981-08-21T10:12:47Z","1981-08-21T11:38:42Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:3    ","VIOLET ",   1, 3.8400,"                                                                                ","11111111","NONE  ","VG_0037 ","[TITAN.C4386XXX]C4386408.IMQ             ","VG_0037 ","[BROWSE.TITAN.C4386XXX]C4386408.IBG             "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","TITAN   ","0514S2-005",43864.11,"1981-08-21T10:15:11Z","1981-08-21T11:41:06Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:3    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[TITAN.C4386XXX]C4386411.IMQ             ","VG_0037 ","[BROWSE.TITAN.C4386XXX]C4386411.IBG             "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","TITAN   ","0517S2-005",43864.14,"1981-08-21T10:17:35Z","1981-08-21T11:43:30Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:3    ","ORANGE ",   3, 3.8400,"                                                                                ","11111111","NONE  ","VG_0037 ","[TITAN.C4386XXX]C4386414.IMQ             ","VG_0037 ","[BROWSE.TITAN.C4386XXX]C4386414.IBG             "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","TITAN   ","0520S2-005",43864.17,"1981-08-21T10:19:59Z","1981-08-21T11:45:54Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:3    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0037 ","[TITAN.C4386XXX]C4386417.IMQ             ","VG_0037 ","[BROWSE.TITAN.C4386XXX]C4386417.IBG             "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","TITAN   ","0523S2-005",43864.20,"1981-08-21T10:22:23Z","1981-08-21T11:48:18Z","NARROW_ANGLE_CAMERA","1:1    ","BOTSIM ","LOW    ","1:3    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[TITAN.C4386XXX]C4386420.IMQ             ","VG_0037 ","[BROWSE.TITAN.C4386XXX]C4386420.IBG             "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","TITAN   ","0525S2-005",43864.22,"1981-08-21T11:49:54Z","1981-08-21T11:49:54Z","WIDE_ANGLE_CAMERA  ","1:1    ","BOTSIM ","LOW    ","1:3    ","ORANGE ",   7, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[TITAN.C4386XXX]C4386422.IMQ             ","VG_0037 ","[BROWSE.TITAN.C4386XXX]C4386422.IBG             "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","S_RINGS ","0547S2-005",43864.44,"1981-08-21T10:41:35Z","1981-08-21T12:07:30Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0037 ","[S_RINGS.C4386XXX]C4386444.IMQ           ","VG_0037 ","[BROWSE.S_RINGS.C4386XXX]C4386444.IBG           "                                                                                               
